id,name,breed,pid
1,Tiger,Tonkinese,1
2,Shadow,Groenendael,2
3,Spike,Great Dane,3
4,Simba,Australian Mist,4
5,Molly,Beagle,5
6,Tucker,Samoyed,6
7,Jake,Kerryblue Terrier,7
8,Alfie,American Wirehair,8
9,Felix,Oriental Longhair,9
10,Snickers,Otterhound,10
11,Oscar,Korean Bobtail,11
12,Bruno,Dhole,12
13,Gizmo,Bull Mastiff,13
14,Charlie,Blood Hound,14
15,Missy,American Curl,15
16,Lady,Redbone,16
17,Lucky,Donskoy or Don Sphynx,17
18,Lucky,Peterbald,18
19,Lucy,Oregon Rex,19
20,Snoopy,Rottweiler,20
21,Lily,Russian White Black and Tabby,21
22,Annie,Boxer,22
23,Lily,Australian Mist,23
24,Missy,Korn Ja,24
25,Snoopy,Ibizan Hound,25
26,Bella,Serrade petit,26
27,Oscar,Cheetoh,27
28,Lily,British Shorthair,28
29,Spike,Malamute,29
30,Lily,American Shorthair,30
31,Sparky,Toy Poodle,31
32,Snickers,Weimaraner,32
33,Lily,Dragon Li,33
34,Max,PerFold Cat (Experimental Breed - WCF),34
35,Jasper,Miniature Schnauzer,35
36,Snoopy,Norwegian Elkhound,36
37,Felix,Maine Coon,37
38,Lily,Sam Sawet,38
39,Milo,Russian Blue,39
40,Zoey,Giant Schnauzer,40
41,Molly,Patterdale Terrier,41
42,Abby,Sussex Spaniel,42
43,Coco,Foldex Cat,43
44,Milo,Japanese Bobtail,44
45,Lily,Brazilian Shorthair,45
46,Oliver,Maine Coon,46
47,Sammy,Pug,47
48,Max,Highlander,48
49,Molly,Siberian,49
50,Cody,Samoyed,50
51,Millie,Maine Coon,51
52,Charlie,Bernese Mountain,52
53,Bella,Chihuahua,53
54,Riley,Dhole,54
55,Diamond,Rottweiler,55
56,Charlie,Kurilian Bobtail,56
57,Poppy,Korn Ja,57
58,Diesel,Coonhound,58
59,Tiger,Asian,59
60,Oscar,Burmilla,60
61,Shadow,Dragon Li,61
62,Misty,Korat,62
63,Milo,Turkish Angora,63
64,Toby,Giant Schnauzer,64
65,Teddy,Standard Poodle,65
66,Daisy,Cymric or Manx Longhair,66
67,Daisy,Korat,67
68,Lily,Blood Hound,68
69,Molly,Exotic Shorthair,69
70,Sam,Burmese,70
71,Chloe,Welsh Spaniel,71
72,Lucky,Giant Schnauzer,72
73,Lexi,Pembroke,73
74,Tank,Affenpinscher,74
75,Cooper,Affenpinscher,75
76,Angel,European Shorthair,76
77,Diamond,Mexicanhairless,77
78,Ruby,Giant Schnauzer,78
79,Missy,Savannah,79
80,Misty,Savannah,80
81,Jack,Westhighland Terrier,81
82,Milo,Oriental Shorthair,82
83,Chance,Sealyham Terrier,83
84,Sooty,Persian (Modern Persian Cat),84
85,Molly,Singapura,85
86,Belle,Border Terrier,86
87,Poppy,Siamese,87
88,Gizmo,Lhasa,88
89,Diamond,Miniature Schnauzer,89
90,Snickers,Bluetick,90
91,Max,Turkish Angora,91
92,Toby,Malinois,92
93,Rosie,Scottish Terrier,93
94,Missy,Asian Semi-longhair,94
95,Toby,Irish Wolfhound,95
96,Shadow,Khao Manee,96
97,Simba,Thai,97
98,Missy,Ocicat,98
99,Bear,Irish Wolfhound,99
100,Maggie,Blood Hound,100
101,Sooty,Savannah,101
102,Daisy,Lykoi,102
103,Daisy,Bombay,103
104,Princess,English Sheepdog,104
105,Smudge,Chantilly-Tiffany,105
106,Lucy,Asian Semi-longhair,106
107,Misty,Munchkin,107
108,Lucky,American Shorthair,108
109,Daisy,Scottish Fold,109
110,Rosie,Chesapeake Retriever,110
111,Oscar,PerFold Cat (Experimental Breed - WCF),111
112,Lily,Tibetan Terrier,112
113,Misty,Silky Terrier,113
114,Tucker,Newfoundland,114
